,Province/State,Country/Region,5/27/20,5/28/20
0,,Dominican Republic,15723,16068
1,,Panama,11728,12131
2,,Honduras,4640,4752
3,,Guatemala,4145,4348
4,,El Salvador,2109,2194
5,,Cuba,1974,1983
6,,Haiti,1320,1320
7,,Costa Rica,984,1000
8,,Nicaragua,759,759
9,,Jamaica,569,569
10,French Guiana,France,406,436
11,Cayman Islands,United Kingdom,140,140
12,,Trinidad and Tobago,116,116
13,,Bahamas,100,101
14,Aruba,Netherlands,101,101
15,,Barbados,92,92
16,Sint Maarten,Netherlands,77,77
17,St Martin,France,40,40
18,,Antigua and Barbuda,25,25
19,Curacao,Netherlands,18,18
20,,Saint Lucia,18,18
