,Province/State,Country/Region,7/4/20,7/5/20
0,,Guatemala,920,947
1,,Dominican Republic,786,794
2,,Panama,720,747
3,,Honduras,629,639
4,,El Salvador,210,217
5,,Haiti,113,113
6,,Cuba,86,86
7,,Nicaragua,83,83
8,,Costa Rica,18,19
9,French Guiana,France,16,16
10,Sint Maarten,Netherlands,15,15
11,,Bahamas,11,11
12,,Jamaica,10,10
13,,Trinidad and Tobago,8,8
14,,Barbados,7,7
15,,Antigua and Barbuda,3,3
16,Aruba,Netherlands,3,3
17,St Martin,France,3,3
18,Curacao,Netherlands,1,1
19,Cayman Islands,United Kingdom,1,1
20,,Saint Lucia,0,0
