,Province/State,Country/Region,5/4/20,5/5/20
0,,Dominican Republic,1771,1905
1,,Cuba,876,954
2,,Panama,641,823
3,,Costa Rica,399,413
4,,El Salvador,180,205
5,,Honduras,122,122
6,,Trinidad and Tobago,99,103
7,French Guiana,France,100,100
8,Aruba,Netherlands,81,82
9,,Guatemala,79,79
10,,Jamaica,38,56
11,,Barbados,46,47
12,Sint Maarten,Netherlands,44,44
13,Cayman Islands,United Kingdom,14,30
14,St Martin,France,29,29
15,,Bahamas,25,26
16,,Antigua and Barbuda,15,16
17,,Saint Lucia,15,15
18,Curacao,Netherlands,13,13
19,,Haiti,10,10
20,,Nicaragua,7,7
