,Antigua and Barbuda,Bahamas,Barbados,Costa Rica,Cuba,Dominican Republic,El Salvador,French Guiana,St Martin,Guatemala,Haiti,Honduras,Jamaica,Aruba,Curacao,Sint Maarten,Nicaragua,Panama,Saint Lucia,Trinidad and Tobago,Cayman Islands
2/29/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/2/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/3/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/4/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/5/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/6/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/7/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/8/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/9/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/10/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/11/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3/12/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3/13/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3/14/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3/15/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3/16/20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
3/17/20,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
3/18/20,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
3/19/20,0,0,0,1,1,2,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1
3/20/20,0,0,0,1,1,2,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1
3/21/20,0,0,0,2,1,2,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1
3/22/20,0,0,0,2,1,3,0,0,0,1,0,0,1,0,1,0,0,3,0,0,1
3/23/20,0,0,0,2,1,3,0,0,0,1,0,0,1,0,1,0,0,6,0,0,1
3/24/20,0,0,0,2,1,6,0,0,0,1,0,0,1,0,1,0,0,6,0,0,1
3/25/20,0,0,0,2,1,10,0,0,0,1,0,0,1,0,1,0,0,8,0,1,1
3/26/20,0,0,0,2,2,10,0,0,0,1,0,1,1,0,1,0,0,8,0,1,1
3/27/20,0,0,0,2,2,20,0,0,0,1,0,1,1,0,1,0,1,9,0,2,1
3/28/20,0,0,0,2,3,28,0,0,0,1,0,1,1,0,1,0,1,14,0,3,1
3/29/20,0,0,0,2,3,39,0,0,0,1,0,3,1,0,1,0,1,17,0,3,1
3/30/20,0,0,0,2,4,42,0,0,1,1,0,7,1,0,1,0,1,24,0,3,1
3/31/20,0,0,0,2,6,51,1,0,1,1,0,7,1,0,1,0,1,30,0,3,1
4/1/20,0,1,0,2,6,57,1,0,1,1,0,10,3,0,1,1,1,30,0,5,1
4/2/20,0,1,0,2,6,60,2,0,1,1,0,14,3,0,1,1,1,32,0,5,1
4/3/20,0,1,0,2,6,68,2,0,1,1,0,15,3,0,1,2,1,37,0,6,1
4/4/20,0,4,0,2,6,68,3,0,2,2,0,15,3,0,1,4,1,41,0,6,1
4/5/20,0,4,1,2,8,82,3,0,2,2,1,22,3,0,1,4,1,46,0,7,1
4/6/20,0,5,2,2,9,86,4,0,2,3,1,22,3,0,1,6,1,54,0,8,1
4/7/20,1,6,3,2,11,98,4,0,2,3,1,22,3,0,1,6,1,55,0,8,1
4/8/20,2,7,3,3,12,108,5,0,2,3,1,22,4,0,1,6,1,59,0,8,1
4/9/20,2,8,3,3,15,118,6,0,2,3,2,23,4,0,1,6,1,63,0,8,1
4/10/20,2,8,4,3,15,126,6,0,2,3,2,23,4,0,1,8,1,66,0,8,1
4/11/20,2,8,4,3,16,135,6,0,2,3,2,24,4,0,1,9,1,74,0,8,1
4/12/20,2,8,4,3,18,173,6,0,2,5,3,25,4,0,1,9,1,79,0,8,1
4/13/20,2,8,4,3,21,177,6,0,2,5,3,25,4,0,1,9,1,87,0,8,1
4/14/20,2,8,4,3,21,183,6,0,2,5,3,26,4,0,1,9,1,94,0,8,1
4/15/20,2,8,5,4,24,189,6,0,2,5,3,31,5,1,1,9,1,95,0,8,1
4/16/20,3,8,5,4,27,196,6,0,2,5,3,35,5,2,1,9,1,103,0,8,1
